Mean data for UKR  Province= 12: Kiev City,  from 2016 to 2016<br>The data below were extracted from weekly files like: ../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.085,258.93, 64.46, 45.28, 54.87
2016 02  0.085,257.65, 60.03, 49.77, 54.90
2016 03  0.088,257.99, 58.99, 49.27, 54.13
2016 04  0.091,259.13, 60.57, 48.75, 54.66
2016 05  0.092,261.24, 59.72, 48.18, 53.95
2016 06  0.094,264.32, 56.29, 41.75, 49.02
2016 07  0.098,267.26, 53.33, 35.39, 44.36
2016 08  0.100,269.46, 50.38, 34.10, 42.24
2016 09  0.102,271.30, 47.85, 35.15, 41.50
2016 10  0.108,273.35, 47.02, 36.38, 41.70
2016 11  0.118,275.76, 47.98, 32.27, 40.12
2016 12  0.131,278.72, 49.82, 31.92, 40.87
2016 13  0.143,281.70, 51.48, 29.93, 40.70
2016 14  0.159,284.12, 56.36, 26.64, 41.50
2016 15  0.186,286.82, 64.10, 20.47, 42.28
2016 16  0.217,289.35, 66.74, 18.36, 42.55
2016 17  0.248,290.62, 67.63, 23.12, 45.38
2016 18  0.269,291.18, 63.52, 37.57, 50.54
2016 19  0.290,292.24, 59.50, 44.27, 51.88
2016 20  0.304,293.12, 52.52, 49.32, 50.92
2016 21  0.313,293.60, 46.66, 53.38, 50.02
2016 22  0.323,294.22, 44.95, 53.16, 49.05
2016 23  0.335,295.02, 47.39, 49.02, 48.21
2016 24  0.344,295.85, 48.87, 43.77, 46.32
2016 25  0.349,296.71, 49.03, 38.83, 43.93
2016 26  0.349,297.04, 47.48, 37.27, 42.37
2016 27  0.354,297.68, 48.65, 31.98, 40.31
2016 28  0.365,298.64, 55.79, 25.22, 40.50
2016 29  0.366,298.85, 58.37, 26.87, 42.62
2016 30  0.364,298.72, 61.31, 29.47, 45.39
2016 31  0.362,298.53, 63.14, 28.97, 46.06
2016 32  0.359,298.14, 63.37, 27.90, 45.63
2016 33  0.355,297.73, 63.02, 20.12, 41.57
2016 34  0.350,296.63, 64.29, 18.17, 41.23
2016 35  0.340,295.40, 64.91, 17.06, 40.98
2016 36  0.330,294.67, 66.06,  9.73, 37.89
2016 37  0.306,292.43, 62.39, 18.78, 40.59
2016 38  0.275,289.81, 54.44, 30.11, 42.27
2016 39  0.229,285.76, 40.13, 59.98, 50.05
2016 40  0.192,282.04, 30.96, 81.02, 55.99
2016 41  0.164,279.08, 25.61, 85.77, 55.69
2016 42  0.134,274.86, 17.91, 93.13, 55.52
2016 43  0.109,271.05, 13.22, 93.11, 53.16
2016 44  0.091,268.33, 12.36, 88.11, 50.23
2016 45  0.077,265.85, 11.91, 83.93, 47.92
2016 46  0.067,263.08, 14.61, 82.18, 48.39
2016 47  0.060,260.25, 18.17, 76.13, 47.15
2016 48  0.059,259.70, 25.58, 67.69, 46.63
2016 49  0.062,260.77, 32.72, 56.09, 44.41
2016 50  0.061,260.83, 34.60, 52.82, 43.71
2016 51  0.061,261.03, 36.10, 46.17, 41.13
2016 52  0.062,260.93, 37.42, 42.00, 39.71
</pre></tt>
