Mean data for UKR  Province= 13: Kirovohrad,  from 2016 to 2016<br>The data below were extracted from weekly files like: ../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.040,253.91, 32.94, 66.35, 49.64
2016 02  0.038,251.34, 33.46, 72.81, 53.13
2016 03  0.036,249.72, 32.56, 75.81, 54.18
2016 04  0.036,250.41, 32.27, 72.05, 52.16
2016 05  0.036,253.14, 31.36, 64.59, 47.98
2016 06  0.038,257.21, 30.40, 56.38, 43.39
2016 07  0.044,262.04, 31.00, 48.22, 39.61
2016 08  0.051,267.10, 32.41, 40.38, 36.39
2016 09  0.061,271.97, 34.49, 34.46, 34.47
2016 10  0.074,276.59, 35.60, 29.32, 32.46
2016 11  0.087,279.89, 37.14, 24.43, 30.78
2016 12  0.103,283.08, 39.92, 22.07, 31.00
2016 13  0.124,286.64, 45.05, 17.62, 31.33
2016 14  0.150,289.46, 50.13, 15.40, 32.76
2016 15  0.182,291.35, 54.26, 18.21, 36.24
2016 16  0.218,293.31, 57.84, 21.24, 39.54
2016 17  0.253,294.70, 60.24, 28.10, 44.17
2016 18  0.281,294.80, 60.50, 44.87, 52.68
2016 19  0.305,294.73, 57.62, 62.39, 60.00
2016 20  0.326,294.76, 54.06, 72.48, 63.27
2016 21  0.345,294.75, 52.10, 78.89, 65.50
2016 22  0.365,295.01, 51.30, 80.19, 65.74
2016 23  0.389,295.56, 55.35, 77.42, 66.39
2016 24  0.414,296.06, 64.63, 76.32, 70.47
2016 25  0.440,296.73, 78.34, 74.14, 76.24
2016 26  0.457,297.19, 86.40, 72.33, 79.36
2016 27  0.470,297.86, 90.91, 67.70, 79.31
2016 28  0.472,298.54, 92.03, 62.18, 77.10
2016 29  0.470,299.00, 92.36, 59.00, 75.68
2016 30  0.460,299.44, 92.00, 54.66, 73.33
2016 31  0.444,299.73, 91.01, 50.42, 70.71
2016 32  0.419,299.60, 88.71, 49.26, 68.99
2016 33  0.391,299.57, 84.81, 47.15, 65.98
2016 34  0.363,299.18, 80.69, 46.26, 63.47
2016 35  0.334,298.62, 76.79, 41.40, 59.09
2016 36  0.305,298.37, 71.27, 26.21, 48.74
2016 37  0.272,297.03, 62.69, 20.79, 41.74
2016 38  0.240,295.09, 53.47, 22.14, 37.81
2016 39  0.204,291.59, 41.61, 39.22, 40.42
2016 40  0.173,287.66, 32.76, 57.94, 45.35
2016 41  0.147,284.77, 28.39, 60.47, 44.43
2016 42  0.125,281.23, 26.76, 64.75, 45.75
2016 43  0.105,277.89, 25.85, 63.15, 44.50
2016 44  0.090,275.15, 25.22, 54.07, 39.64
2016 45  0.074,271.58, 22.91, 54.97, 38.94
2016 46  0.065,268.04, 23.08, 59.07, 41.07
2016 47  0.057,264.30, 23.58, 66.03, 44.81
2016 48  0.053,262.37, 25.92, 66.01, 45.97
2016 49  0.051,261.66, 29.71, 60.43, 45.07
2016 50  0.047,259.88, 30.17, 59.16, 44.67
2016 51  0.045,257.83, 31.90, 59.88, 45.89
2016 52  0.042,256.35, 31.36, 60.23, 45.80
</pre></tt>
