Mean data for UKR  Province= 21: Sumy,  from 2016 to 2016<br>The data below were extracted from weekly files like: ../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.055,253.58, 47.47, 65.28, 56.38
2016 02  0.055,253.98, 51.46, 63.82, 57.64
2016 03  0.056,254.75, 55.48, 62.11, 58.79
2016 04  0.057,255.83, 59.12, 59.72, 59.42
2016 05  0.058,258.43, 59.99, 49.71, 54.85
2016 06  0.062,262.32, 57.70, 36.86, 47.28
2016 07  0.071,266.54, 55.71, 26.83, 41.27
2016 08  0.081,269.68, 52.98, 21.92, 37.45
2016 09  0.089,271.83, 51.59, 21.54, 36.57
2016 10  0.095,273.42, 49.07, 25.71, 37.39
2016 11  0.103,274.75, 47.69, 30.46, 39.08
2016 12  0.119,277.04, 50.14, 33.75, 41.95
2016 13  0.135,279.65, 51.33, 34.27, 42.80
2016 14  0.156,282.21, 53.43, 33.66, 43.55
2016 15  0.180,284.41, 53.58, 35.24, 44.41
2016 16  0.207,286.59, 52.32, 36.94, 44.63
2016 17  0.239,288.21, 50.73, 45.00, 47.87
2016 18  0.274,288.85, 49.57, 60.01, 54.79
2016 19  0.311,289.81, 48.06, 67.79, 57.92
2016 20  0.350,291.21, 47.42, 69.11, 58.26
2016 21  0.385,292.42, 48.80, 68.32, 58.56
2016 22  0.415,293.09, 50.53, 67.44, 58.98
2016 23  0.440,293.62, 53.33, 67.54, 60.43
2016 24  0.465,294.64, 60.65, 61.64, 61.15
2016 25  0.488,295.72, 73.30, 53.47, 63.38
2016 26  0.498,296.17, 80.05, 50.85, 65.45
2016 27  0.506,296.72, 85.86, 47.58, 66.72
2016 28  0.511,297.27, 90.24, 45.80, 68.02
2016 29  0.510,297.37, 91.92, 49.08, 70.50
2016 30  0.506,297.31, 93.13, 52.43, 72.78
2016 31  0.497,296.97, 93.07, 54.58, 73.82
2016 32  0.487,296.44, 92.54, 56.23, 74.39
2016 33  0.476,295.97, 92.54, 53.52, 73.03
2016 34  0.459,294.97, 90.99, 50.69, 70.84
2016 35  0.435,293.77, 88.08, 50.11, 69.10
2016 36  0.408,292.74, 84.91, 44.43, 64.67
2016 37  0.373,290.92, 79.66, 44.38, 62.02
2016 38  0.325,288.30, 65.91, 54.72, 60.32
2016 39  0.275,284.63, 49.67, 75.91, 62.79
2016 40  0.231,281.58, 37.03, 81.58, 59.30
2016 41  0.196,279.04, 30.68, 82.50, 56.59
2016 42  0.160,275.62, 24.20, 88.22, 56.21
2016 43  0.127,272.53, 19.11, 86.27, 52.69
2016 44  0.100,269.49, 15.54, 81.79, 48.66
2016 45  0.082,266.61, 13.43, 77.16, 45.29
2016 46  0.071,263.64, 15.16, 74.66, 44.91
2016 47  0.062,260.84, 16.99, 73.96, 45.47
2016 48  0.054,259.66, 19.13, 69.06, 44.10
2016 49  0.053,259.14, 24.25, 62.94, 43.59
2016 50  0.050,257.97, 27.15, 57.04, 42.09
2016 51  0.047,256.62, 27.96, 57.75, 42.85
2016 52  0.046,254.88, 30.53, 62.58, 46.55
</pre></tt>
