year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.084,266.22,53.5,39.3,46.4
2016,03,0.078,265.05,50.6,43.0,46.8
2016,04,0.080,265.78,50.51,42.04,46.27
2016,05,0.084,267.97,52.35,37.5,44.93
2016,06,0.094,271.84,56.39,29.8,43.1
2016,07,0.111,276.09,62.15,21.64,41.89
2016,08,0.130,279.63,67.93,16.3,42.12
2016,09,0.150,282.43,72.3,14.36,43.33
2016,10,0.174,284.93,76.39,13.45,44.92
2016,11,0.197,286.75,79.35,12.02,45.69
2016,12,0.221,288.35,81.26,14.12,47.69
2016,13,0.249,290.14,82.4,16.24,49.32
2016,14,0.280,291.53,84.07,18.16,51.11
2016,15,0.311,292.54,85.63,24.28,54.95
2016,16,0.343,293.09,86.3,37.34,61.82
2016,17,0.372,293.41,86.28,52.86,69.57
2016,18,0.392,293.54,85.2,68.27,76.73
2016,19,0.405,293.89,83.26,78.7,80.98
2016,20,0.412,294.27,81.55,83.37,82.46
2016,21,0.416,294.62,80.73,86.06,83.39
2016,22,0.416,295.29,80.57,86.35,83.46
2016,23,0.416,296.18,82.75,84.34,83.55
2016,24,0.410,297.1,82.96,80.64,81.8
2016,25,0.401,298.32,81.02,74.72,77.87
2016,26,0.391,299.51,78.4,67.87,73.13
2016,27,0.380,300.75,75.91,61.16,68.53
2016,28,0.365,302.0,71.84,52.91,62.38
2016,29,0.350,302.96,68.13,45.69,56.91
2016,30,0.331,303.64,62.97,39.52,51.25
2016,31,0.311,303.86,57.74,35.91,46.83
2016,32,0.289,303.71,52.76,33.07,42.92
2016,33,0.270,303.44,47.98,29.98,38.98
2016,34,0.251,303.04,42.64,27.0,34.82
2016,35,0.233,302.26,37.75,24.33,31.04
2016,36,0.215,300.92,34.12,23.37,28.75
2016,37,0.198,299.07,30.95,27.45,29.2
2016,38,0.184,296.9,29.77,34.48,32.12
2016,39,0.167,293.72,27.32,51.1,39.21
2016,40,0.152,290.37,25.92,65.51,45.72
2016,41,0.140,287.09,27.01,70.29,48.64
2016,42,0.128,283.85,28.37,69.03,48.7
2016,43,0.115,280.89,28.51,63.9,46.21
2016,44,0.103,278.11,28.32,58.64,43.48
2016,45,0.094,275.62,28.63,56.03,42.33
2016,46,0.092,273.84,32.07,52.83,42.45
2016,47,0.090,271.98,34.89,52.27,43.58
2016,48,0.089,270.41,39.03,50.75,44.89
2016,49,0.087,269.15,42.67,46.26,44.46
2016,50,0.085,268.0,46.03,41.69,43.86
2016,51,0.080,266.76,47.61,40.89,44.25
2016,52,0.074,265.54,44.58,42.12,43.35
