year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.107,264.63,75.25,31.48,53.36
2016,03,0.109,264.92,76.48,31.43,53.96
2016,04,0.114,266.24,75.25,29.31,52.28
2016,05,0.121,268.61,70.04,25.49,47.77
2016,06,0.130,270.66,66.37,23.8,45.08
2016,07,0.141,272.7,66.12,20.46,43.29
2016,08,0.144,273.74,62.82,23.04,42.93
2016,09,0.150,274.8,62.53,26.0,44.27
2016,10,0.161,276.13,63.85,29.31,46.58
2016,11,0.177,278.35,65.52,26.19,45.86
2016,12,0.199,280.75,68.47,28.41,48.44
2016,13,0.220,282.73,69.8,30.59,50.19
2016,14,0.242,284.47,71.35,31.83,51.59
2016,15,0.272,286.47,75.45,31.39,53.42
2016,16,0.303,287.98,77.75,34.85,56.3
2016,17,0.328,289.06,75.95,42.84,59.4
2016,18,0.346,289.82,70.89,50.68,60.78
2016,19,0.367,291.07,67.66,50.5,59.08
2016,20,0.387,292.38,65.54,47.11,56.33
2016,21,0.404,293.27,63.12,44.84,53.98
2016,22,0.423,294.07,64.88,40.31,52.6
2016,23,0.441,294.94,67.98,32.89,50.44
2016,24,0.450,295.83,68.35,23.42,45.88
2016,25,0.455,296.47,69.3,17.97,43.64
2016,26,0.454,296.64,68.68,17.61,43.14
2016,27,0.453,297.01,69.0,15.45,42.23
2016,28,0.455,297.5,71.84,12.16,42.0
2016,29,0.451,297.56,72.61,13.18,42.89
2016,30,0.446,297.55,73.55,15.99,44.77
2016,31,0.444,297.63,74.67,14.8,44.74
2016,32,0.440,297.53,74.74,13.85,44.29
2016,33,0.435,297.3,76.06,12.39,44.23
2016,34,0.428,297.07,76.54,8.67,42.6
2016,35,0.416,296.24,75.12,7.67,41.39
2016,36,0.394,294.86,71.01,9.55,40.28
2016,37,0.364,292.78,64.62,16.34,40.48
2016,38,0.332,290.41,57.15,26.64,41.9
2016,39,0.290,286.38,45.17,55.1,50.14
2016,40,0.252,282.36,35.58,78.29,56.94
2016,41,0.215,278.76,28.29,88.1,58.19
2016,42,0.176,274.1,20.65,94.36,57.51
2016,43,0.134,268.95,10.72,96.71,53.72
2016,44,0.106,264.82,6.56,95.74,51.15
2016,45,0.084,262.28,4.21,93.71,48.96
2016,46,0.074,261.76,6.43,88.46,47.44
2016,47,0.072,262.0,13.01,81.4,47.21
2016,48,0.072,262.69,20.51,71.72,46.11
2016,49,0.068,263.11,21.98,62.05,42.02
2016,50,0.064,262.4,20.39,57.26,38.82
2016,51,0.063,261.53,22.69,54.04,38.36
2016,52,0.061,260.35,23.93,54.61,39.27
