year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.047,259.33,62.27,37.73,50.0
2016,03,0.050,260.31,67.27,34.05,50.66
2016,04,0.055,262.36,71.37,28.52,49.94
2016,05,0.059,265.69,70.79,20.1,45.44
2016,06,0.063,269.56,67.2,13.48,40.34
2016,07,0.071,273.43,65.73,9.2,37.47
2016,08,0.081,276.41,66.02,8.3,37.16
2016,09,0.091,278.81,65.96,8.3,37.13
2016,10,0.098,281.15,63.42,9.1,36.26
2016,11,0.110,283.22,63.97,10.76,37.36
2016,12,0.129,285.37,67.41,13.22,40.32
2016,13,0.150,287.47,70.03,16.41,43.22
2016,14,0.175,289.46,72.29,16.52,44.41
2016,15,0.204,291.21,74.43,17.94,46.18
2016,16,0.241,292.92,76.9,20.65,48.77
2016,17,0.281,293.65,79.13,27.85,53.49
2016,18,0.317,293.65,80.29,43.34,61.82
2016,19,0.347,294.26,80.53,57.69,69.11
2016,20,0.373,295.14,79.93,64.57,72.25
2016,21,0.391,295.87,78.85,68.25,73.55
2016,22,0.403,296.47,75.42,69.38,72.4
2016,23,0.409,297.26,71.15,68.77,69.96
2016,24,0.414,298.39,70.99,66.08,68.53
2016,25,0.415,299.45,73.24,61.9,67.57
2016,26,0.410,300.39,73.02,57.1,65.06
2016,27,0.401,301.31,70.2,49.35,59.78
2016,28,0.383,301.99,65.08,43.59,54.34
2016,29,0.363,302.39,59.65,40.55,50.1
2016,30,0.343,302.73,53.93,37.92,45.92
2016,31,0.325,302.98,50.78,35.48,43.13
2016,32,0.306,302.43,46.91,38.67,42.79
2016,33,0.291,301.9,44.09,39.93,42.01
2016,34,0.280,301.8,43.42,35.32,39.37
2016,35,0.266,300.76,42.83,35.46,39.14
2016,36,0.252,299.21,43.01,34.63,38.82
2016,37,0.234,296.92,41.76,38.17,39.96
2016,38,0.212,294.2,39.65,46.49,43.07
2016,39,0.191,291.1,38.13,56.35,47.24
2016,40,0.173,287.72,38.41,66.82,52.62
2016,41,0.159,284.29,40.17,71.81,55.99
2016,42,0.144,281.42,42.29,67.54,54.92
2016,43,0.130,279.29,44.22,54.54,49.38
2016,44,0.116,277.1,44.78,44.12,44.45
2016,45,0.100,273.81,42.91,42.81,42.86
2016,46,0.088,270.68,42.4,40.78,41.59
2016,47,0.080,267.44,43.45,41.55,42.5
2016,48,0.073,264.05,44.63,43.66,44.15
2016,49,0.068,261.35,45.42,44.15,44.79
2016,50,0.061,258.51,44.75,46.99,45.87
2016,51,0.054,256.24,46.82,53.29,50.05
2016,52,0.051,254.34,54.01,61.28,57.64
