year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.051,258.22,65.46,37.19,51.33
2016,03,0.055,259.45,68.91,32.32,50.61
2016,04,0.059,261.07,69.22,27.29,48.26
2016,05,0.061,263.54,63.91,21.82,42.86
2016,06,0.064,266.92,57.99,15.93,36.96
2016,07,0.072,270.62,55.54,11.29,33.41
2016,08,0.080,273.8,56.2,8.71,32.46
2016,09,0.087,276.25,55.87,8.06,31.97
2016,10,0.093,278.49,55.0,8.79,31.9
2016,11,0.104,280.86,55.89,9.82,32.86
2016,12,0.121,283.45,58.79,10.86,34.82
2016,13,0.139,285.87,61.56,11.63,36.6
2016,14,0.161,287.89,63.79,13.43,38.61
2016,15,0.186,289.76,65.81,15.74,40.77
2016,16,0.218,291.8,67.63,19.38,43.5
2016,17,0.252,292.72,68.59,29.13,48.86
2016,18,0.287,292.82,69.79,46.66,58.23
2016,19,0.322,293.65,71.39,59.83,65.61
2016,20,0.354,294.66,70.99,67.82,69.4
2016,21,0.380,295.4,70.49,73.65,72.07
2016,22,0.398,295.95,69.22,73.64,71.43
2016,23,0.414,296.65,72.21,73.45,72.83
2016,24,0.429,297.7,79.07,71.94,75.51
2016,25,0.439,298.82,85.36,65.95,75.65
2016,26,0.441,299.63,87.59,62.23,74.91
2016,27,0.437,300.36,87.41,56.5,71.95
2016,28,0.425,300.76,84.65,54.67,69.66
2016,29,0.409,300.88,81.32,55.97,68.65
2016,30,0.392,300.93,78.41,56.98,67.69
2016,31,0.377,300.84,77.44,57.59,67.52
2016,32,0.361,300.21,75.22,61.64,68.43
2016,33,0.346,299.66,73.15,61.84,67.49
2016,34,0.332,299.37,71.98,56.65,64.31
2016,35,0.312,298.18,69.81,56.24,63.03
2016,36,0.291,296.47,67.3,55.11,61.2
2016,37,0.267,294.16,63.1,55.98,59.54
2016,38,0.240,291.55,55.73,61.16,58.44
2016,39,0.218,288.73,49.86,67.8,58.83
2016,40,0.199,285.61,45.73,73.12,59.43
2016,41,0.183,282.6,45.42,74.71,60.06
2016,42,0.166,279.91,46.14,72.12,59.13
2016,43,0.148,277.57,46.86,62.3,54.58
2016,44,0.129,275.28,46.47,52.81,49.64
2016,45,0.111,272.43,44.91,48.07,46.49
2016,46,0.097,269.72,45.65,43.8,44.73
2016,47,0.088,267.02,48.48,40.67,44.58
2016,48,0.077,263.96,49.93,39.93,44.93
2016,49,0.070,261.34,52.1,40.07,46.08
2016,50,0.062,258.78,53.0,41.78,47.39
2016,51,0.054,256.97,51.6,45.17,48.39
2016,52,0.050,255.66,56.46,49.65,53.06
