year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.154,277.85,83.03,6.69,44.86
2016,03,0.161,278.66,84.22,4.57,44.4
2016,04,0.170,280.1,86.42,2.13,44.27
2016,05,0.172,280.28,86.91,3.26,45.08
2016,06,0.173,280.88,85.04,3.87,44.46
2016,07,0.178,281.46,83.89,5.73,44.81
2016,08,0.190,282.28,87.02,8.52,47.77
2016,09,0.200,283.33,88.18,10.84,49.51
2016,10,0.210,283.63,88.2,17.36,52.78
2016,11,0.225,284.79,88.87,19.39,54.13
2016,12,0.247,286.16,91.22,21.48,56.35
2016,13,0.271,287.4,92.92,24.84,58.88
2016,14,0.296,288.56,93.42,27.56,60.49
2016,15,0.325,289.52,94.57,31.44,63.01
2016,16,0.363,291.01,95.52,28.26,61.89
2016,17,0.403,291.96,95.81,31.61,63.71
2016,18,0.430,292.52,94.9,39.3,67.1
2016,19,0.446,293.41,91.77,39.61,65.69
2016,20,0.454,294.1,87.54,42.4,64.97
2016,21,0.457,294.99,84.5,39.97,62.24
2016,22,0.461,296.13,82.19,34.05,58.12
2016,23,0.457,296.91,79.11,30.85,54.98
2016,24,0.450,297.74,75.72,28.64,52.18
2016,25,0.442,298.54,73.03,25.61,49.32
2016,26,0.436,299.29,72.3,23.45,47.88
2016,27,0.427,299.91,71.32,21.0,46.16
2016,28,0.411,300.18,68.39,20.56,44.47
2016,29,0.398,300.48,65.71,19.64,42.68
2016,30,0.388,300.64,64.19,18.54,41.37
2016,31,0.378,300.63,63.83,17.76,40.8
2016,32,0.367,300.23,62.99,20.65,41.82
2016,33,0.357,299.53,61.59,24.23,42.91
2016,34,0.353,298.91,62.43,24.78,43.61
2016,35,0.352,298.23,64.37,23.16,43.77
2016,36,0.348,297.43,65.39,18.57,41.98
2016,37,0.338,296.26,64.72,17.54,41.13
2016,38,0.325,294.72,63.97,20.31,42.14
2016,39,0.310,293.0,63.62,23.62,43.62
2016,40,0.288,291.07,61.97,26.3,44.14
2016,41,0.262,288.51,59.33,31.95,45.64
2016,42,0.234,286.15,57.11,36.11,46.61
2016,43,0.207,284.28,54.79,35.17,44.98
2016,44,0.180,282.43,50.94,33.64,42.29
2016,45,0.158,280.44,47.92,33.61,40.77
2016,46,0.140,278.16,44.75,35.99,40.37
2016,47,0.125,275.61,41.75,40.12,40.93
2016,48,0.115,273.32,40.84,44.22,42.53
2016,49,0.109,271.9,41.8,44.73,43.27
2016,50,0.099,270.24,40.71,45.88,43.29
2016,51,0.093,269.06,41.02,47.07,44.05
2016,52,0.092,268.39,42.83,48.31,45.57
