year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.071,256.92,48.9,52.34,50.62
2016,03,0.073,257.56,49.42,51.49,50.45
2016,04,0.078,259.21,53.92,47.9,50.91
2016,05,0.083,262.19,58.87,40.65,49.76
2016,06,0.091,265.74,61.82,32.91,47.36
2016,07,0.102,269.01,63.36,26.47,44.92
2016,08,0.110,271.2,61.73,23.86,42.8
2016,09,0.120,273.14,61.49,21.71,41.6
2016,10,0.129,274.99,60.01,22.07,41.04
2016,11,0.142,277.09,59.78,19.37,39.58
2016,12,0.163,279.76,62.95,17.72,40.33
2016,13,0.182,282.36,65.09,16.02,40.56
2016,14,0.201,284.45,66.04,16.18,41.11
2016,15,0.224,286.52,65.31,17.55,41.43
2016,16,0.252,288.52,63.85,21.09,42.47
2016,17,0.283,290.0,62.13,29.39,45.76
2016,18,0.313,290.79,59.37,41.32,50.35
2016,19,0.344,291.86,56.74,46.23,51.49
2016,20,0.376,292.92,55.62,48.43,52.03
2016,21,0.403,293.61,54.71,50.75,52.73
2016,22,0.427,294.13,55.75,49.58,52.67
2016,23,0.446,294.59,57.02,49.02,53.02
2016,24,0.463,295.34,61.25,45.04,53.14
2016,25,0.479,296.19,68.85,39.53,54.19
2016,26,0.485,296.56,72.61,38.76,55.68
2016,27,0.490,297.08,76.23,37.24,56.74
2016,28,0.493,297.59,80.48,36.43,58.46
2016,29,0.491,297.71,82.17,39.77,60.97
2016,30,0.486,297.63,82.81,43.58,63.19
2016,31,0.478,297.38,82.09,44.73,63.41
2016,32,0.470,296.98,81.98,44.02,63.0
2016,33,0.462,296.54,82.02,38.92,60.47
2016,34,0.450,295.59,80.62,33.48,57.05
2016,35,0.433,294.63,78.88,28.05,53.47
2016,36,0.411,293.65,76.29,22.34,49.31
2016,37,0.382,291.94,73.74,24.06,48.9
2016,38,0.346,289.87,66.99,29.45,48.22
2016,39,0.303,287.01,55.08,42.87,48.97
2016,40,0.260,284.12,43.23,54.35,48.79
2016,41,0.222,280.95,34.46,67.2,50.83
2016,42,0.185,277.61,27.08,78.0,52.54
2016,43,0.153,274.78,23.62,75.97,49.8
2016,44,0.126,272.25,21.71,67.67,44.69
2016,45,0.104,269.53,20.76,63.58,42.17
2016,46,0.088,266.67,20.04,60.2,40.12
2016,47,0.076,263.83,18.98,59.8,39.39
2016,48,0.067,262.2,18.9,56.67,37.79
2016,49,0.062,261.06,20.0,54.2,37.1
2016,50,0.058,259.55,20.84,55.49,38.17
2016,51,0.056,258.34,22.37,56.84,39.61
2016,52,0.054,257.43,24.02,57.72,40.87
