year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.104,267.97,72.82,27.05,49.94
2016,03,0.104,268.05,72.09,28.01,50.05
2016,04,0.109,269.61,71.71,25.32,48.52
2016,05,0.118,272.25,72.8,18.48,45.64
2016,06,0.126,274.73,71.92,14.85,43.39
2016,07,0.134,276.54,70.29,14.45,42.37
2016,08,0.142,278.03,68.87,15.21,42.04
2016,09,0.153,279.64,69.08,16.19,42.63
2016,10,0.171,281.46,71.69,16.89,44.29
2016,11,0.188,283.15,72.49,15.54,44.02
2016,12,0.210,284.8,74.7,17.62,46.16
2016,13,0.237,286.35,77.76,18.64,48.2
2016,14,0.264,287.84,79.9,17.52,48.71
2016,15,0.293,289.18,81.15,16.6,48.87
2016,16,0.320,289.97,78.69,21.36,50.02
2016,17,0.348,290.85,75.77,27.49,51.63
2016,18,0.372,291.54,71.55,34.24,52.9
2016,19,0.393,292.35,66.77,37.53,52.15
2016,20,0.415,293.22,63.67,38.17,50.92
2016,21,0.436,294.08,60.95,38.22,49.59
2016,22,0.455,294.83,59.67,36.59,48.13
2016,23,0.473,295.56,62.33,32.98,47.66
2016,24,0.485,296.01,64.8,29.5,47.15
2016,25,0.496,296.4,68.3,24.59,46.45
2016,26,0.504,296.7,71.02,22.0,46.51
2016,27,0.508,297.0,71.95,22.21,47.08
2016,28,0.512,297.59,75.07,17.25,46.16
2016,29,0.509,297.76,74.83,16.41,45.62
2016,30,0.503,297.88,74.03,16.07,45.05
2016,31,0.491,297.89,70.1,14.31,42.21
2016,32,0.480,297.8,66.84,13.51,40.18
2016,33,0.470,297.76,64.08,10.77,37.42
2016,34,0.450,297.5,56.34,9.44,32.89
2016,35,0.422,296.74,48.02,10.39,29.2
2016,36,0.389,295.43,39.52,14.48,27.0
2016,37,0.361,294.03,35.59,17.65,26.62
2016,38,0.339,292.72,34.0,17.81,25.9
2016,39,0.310,289.94,29.31,31.98,30.65
2016,40,0.285,287.04,26.62,50.06,38.34
2016,41,0.264,284.47,28.28,58.68,43.48
2016,42,0.239,281.76,30.08,64.85,47.47
2016,43,0.212,279.75,31.87,57.55,44.71
2016,44,0.181,277.9,31.93,46.74,39.34
2016,45,0.152,275.63,31.53,39.89,35.71
2016,46,0.133,273.44,34.42,38.1,36.26
2016,47,0.111,270.62,34.26,41.91,38.08
2016,48,0.096,267.86,35.27,47.49,41.38
2016,49,0.083,265.56,34.16,50.44,42.3
2016,50,0.078,263.63,38.52,49.85,44.18
2016,51,0.078,262.3,47.79,48.0,47.89
2016,52,0.074,261.03,48.47,49.97,49.22
