year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.051,264.42,47.66,30.23,38.95
2016,03,0.053,265.84,51.27,25.18,38.22
2016,04,0.057,267.94,54.43,20.78,37.6
2016,05,0.059,269.94,52.94,18.56,35.75
2016,06,0.061,272.21,48.63,16.6,32.62
2016,07,0.067,275.33,46.16,13.35,29.76
2016,08,0.076,278.23,45.46,11.86,28.66
2016,09,0.085,280.35,45.13,12.64,28.88
2016,10,0.093,282.18,43.7,15.84,29.77
2016,11,0.104,283.9,44.54,17.6,31.07
2016,12,0.123,286.3,48.39,17.0,32.69
2016,13,0.147,288.73,53.38,18.04,35.71
2016,14,0.177,291.18,59.0,16.54,37.77
2016,15,0.207,292.71,62.94,18.56,40.75
2016,16,0.241,294.2,66.55,21.8,44.18
2016,17,0.277,295.29,69.41,29.09,49.25
2016,18,0.308,295.31,70.79,47.42,59.11
2016,19,0.332,295.72,70.02,63.28,66.65
2016,20,0.354,296.58,69.22,67.65,68.43
2016,21,0.369,297.19,69.26,71.95,70.6
2016,22,0.379,297.79,68.63,73.78,71.2
2016,23,0.382,298.54,68.3,71.54,69.92
2016,24,0.381,299.48,69.28,68.72,69.0
2016,25,0.379,300.52,69.91,65.32,67.61
2016,26,0.374,301.49,69.18,60.45,64.81
2016,27,0.364,302.49,66.16,53.85,60.0
2016,28,0.345,303.23,60.62,47.31,53.96
2016,29,0.326,303.84,55.62,41.78,48.7
2016,30,0.304,304.42,50.39,36.18,43.28
2016,31,0.281,304.83,46.04,32.06,39.05
2016,32,0.259,304.5,40.91,32.62,36.76
2016,33,0.242,304.04,36.88,34.26,35.57
2016,34,0.229,303.78,34.51,33.26,33.88
2016,35,0.215,302.88,31.95,33.56,32.76
2016,36,0.203,301.49,31.18,31.75,31.47
2016,37,0.190,299.62,29.81,30.11,29.96
2016,38,0.176,297.17,29.74,34.52,32.13
2016,39,0.164,293.96,31.76,47.52,39.64
2016,40,0.155,290.65,34.36,57.68,46.02
2016,41,0.149,287.41,37.58,61.01,49.3
2016,42,0.143,284.68,40.93,56.77,48.85
2016,43,0.137,282.56,44.07,46.94,45.5
2016,44,0.128,280.42,45.2,37.02,41.11
2016,45,0.116,277.52,44.57,36.38,40.47
2016,46,0.106,274.65,44.96,38.14,41.55
2016,47,0.098,271.57,45.12,41.7,43.41
2016,48,0.091,268.67,45.45,43.32,44.38
2016,49,0.085,266.09,46.27,44.5,45.39
2016,50,0.076,263.16,46.47,49.12,47.8
2016,51,0.067,260.2,46.63,54.34,50.48
2016,52,0.060,257.01,47.0,61.83,54.41
