year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.063,258.68,54.02,47.45,50.74
2016,03,0.060,257.13,51.61,55.09,53.35
2016,04,0.062,258.07,52.28,52.71,52.49
2016,05,0.065,261.1,51.09,45.86,48.47
2016,06,0.071,265.07,51.7,38.64,45.17
2016,07,0.084,269.42,56.03,29.86,42.95
2016,08,0.095,272.51,58.6,25.75,42.18
2016,09,0.109,275.45,61.97,23.48,42.73
2016,10,0.128,278.81,65.66,19.94,42.8
2016,11,0.147,281.43,69.47,15.7,42.58
2016,12,0.169,283.72,72.71,18.15,45.43
2016,13,0.192,285.97,73.15,17.97,45.56
2016,14,0.221,288.07,73.88,16.62,45.25
2016,15,0.255,289.92,75.23,19.1,47.16
2016,16,0.289,291.12,75.29,26.91,51.1
2016,17,0.321,291.77,74.1,36.15,55.12
2016,18,0.345,291.79,70.55,50.37,60.46
2016,19,0.368,292.28,66.69,57.66,62.18
2016,20,0.386,292.81,62.03,62.01,62.02
2016,21,0.402,292.98,57.45,67.27,62.36
2016,22,0.422,293.4,55.96,68.45,62.21
2016,23,0.443,294.11,60.22,66.17,63.19
2016,24,0.460,294.68,66.35,64.52,65.43
2016,25,0.475,295.22,73.64,61.82,67.73
2016,26,0.483,295.47,78.01,61.12,69.57
2016,27,0.489,296.22,83.28,57.46,70.37
2016,28,0.491,297.26,87.09,48.77,67.93
2016,29,0.484,297.7,85.91,43.39,64.65
2016,30,0.472,298.01,83.1,38.14,60.62
2016,31,0.457,298.3,79.4,32.35,55.87
2016,32,0.437,298.29,73.88,28.53,51.2
2016,33,0.415,298.24,67.16,23.78,45.47
2016,34,0.391,298.07,59.55,19.25,39.4
2016,35,0.363,297.56,52.63,16.02,34.33
2016,36,0.333,296.64,46.42,13.91,30.16
2016,37,0.297,294.96,37.9,17.14,27.52
2016,38,0.265,292.88,30.59,22.27,26.43
2016,39,0.228,289.16,20.81,44.53,32.67
2016,40,0.195,285.2,14.2,69.18,41.69
2016,41,0.162,281.37,9.97,79.76,44.87
2016,42,0.128,276.59,6.47,89.68,48.07
2016,43,0.100,272.05,4.45,92.92,48.69
2016,44,0.081,268.74,3.88,89.45,46.66
2016,45,0.066,265.85,3.48,83.93,43.7
2016,46,0.059,264.06,5.25,78.66,41.96
2016,47,0.053,262.2,8.12,76.47,42.29
2016,48,0.052,261.23,16.91,72.66,44.78
2016,49,0.051,259.92,24.79,68.63,46.71
2016,50,0.050,257.97,31.74,66.41,49.08
2016,51,0.051,256.04,39.28,64.81,52.04
2016,52,0.049,254.43,40.14,63.86,52.0
