year,week,SMN,SMT,VCI,TCI,VHI
2016,02,0.079,266.42,76.72,19.13,47.93
2016,03,0.077,266.53,77.93,19.27,48.6
2016,04,0.079,267.79,76.57,17.32,46.95
2016,05,0.083,269.76,69.68,16.97,43.33
2016,06,0.088,271.94,65.05,15.27,40.16
2016,07,0.097,273.82,64.82,13.3,39.06
2016,08,0.101,275.19,62.43,13.94,38.18
2016,09,0.110,276.15,63.33,17.13,40.23
2016,10,0.126,277.65,66.99,19.64,43.31
2016,11,0.146,280.04,70.26,16.93,43.6
2016,12,0.173,282.44,75.6,17.81,46.7
2016,13,0.202,284.73,79.4,18.64,49.02
2016,14,0.233,286.8,81.77,16.8,49.29
2016,15,0.268,288.48,83.06,17.24,50.15
2016,16,0.303,289.31,82.9,26.85,54.87
2016,17,0.338,290.28,82.33,37.03,59.68
2016,18,0.366,290.98,79.66,46.34,63.0
2016,19,0.392,291.92,76.3,50.84,63.57
2016,20,0.414,292.95,73.58,51.89,62.73
2016,21,0.430,293.79,70.15,51.86,61.0
2016,22,0.446,294.58,69.43,48.94,59.18
2016,23,0.462,295.47,72.31,41.94,57.12
2016,24,0.468,296.19,73.18,33.52,53.35
2016,25,0.472,296.7,73.84,26.06,49.95
2016,26,0.474,297.09,74.22,20.71,47.46
2016,27,0.471,297.49,73.23,16.21,44.72
2016,28,0.465,298.15,72.03,10.51,41.27
2016,29,0.451,298.42,68.35,10.13,39.24
2016,30,0.437,298.64,65.17,9.77,37.47
2016,31,0.422,298.83,61.73,8.24,34.98
2016,32,0.405,298.82,56.82,8.2,32.51
2016,33,0.388,298.71,51.78,7.29,29.53
2016,34,0.366,298.43,44.74,7.54,26.14
2016,35,0.340,297.54,38.42,10.63,24.53
2016,36,0.306,296.12,31.99,14.11,23.05
2016,37,0.268,294.0,25.55,20.62,23.09
2016,38,0.236,291.18,19.6,31.83,25.71
2016,39,0.204,286.89,12.44,57.03,34.74
2016,40,0.176,283.44,7.81,74.75,41.28
2016,41,0.153,280.55,6.65,80.03,43.34
2016,42,0.131,277.05,7.01,84.36,45.68
2016,43,0.109,273.87,7.5,82.57,45.03
2016,44,0.088,271.48,6.87,76.07,41.47
2016,45,0.068,268.71,5.0,72.6,38.8
2016,46,0.060,266.12,7.38,68.46,37.92
2016,47,0.052,263.71,11.26,65.66,38.46
2016,48,0.050,262.29,17.91,62.42,40.17
2016,49,0.046,261.22,20.44,60.45,40.44
2016,50,0.045,258.89,24.21,63.21,43.71
2016,51,0.048,256.3,32.94,66.47,49.7
2016,52,0.047,254.41,36.26,68.31,52.29
